#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_300221	1	29833	4454	29833	100	14.3279	35.3	57.1
k105_232694	1	3755	979	3748	99.8136	23.7678	35.2	54.9
k105_300378	1	5337	716	5337	100	12.8733	35.3	57.8
k105_278281	1	3802	654	3802	100	16.6804	35.2	57.6
k105_187916	1	7742	1243	7742	100	15.3273	35.3	57.4
k105_323392	1	10605	2149	10605	100	18.3183	35.2	54.1
k105_300577	1	18397	5474	18397	100	26.2044	35.4	51.9
k105_255907	1	7531	1381	7531	100	17.2295	35.5	55.7
k105_30434	1	2582	140	2582	100	5.18939	35.2	58.7
k105_233185	1	6375	951	6375	100	14.3434	35.2	56.7
k105_119934	1	13807	2017	13807	100	13.8932	35.3	56.3
k105_98112	1	12370	1665	12370	100	12.846	35.4	56.6
k105_165937	1	16248	2414	16248	100	14.2971	35.2	56.1
k105_211545	1	4022	517	4022	100	12.4846	35.2	58
k105_188951	1	11879	1943	11879	100	15.7764	35.1	58.3
k105_233832	1	2636	144	2631	99.8103	5.15023	35.2	58.2
k105_166091	1	24330	4535	24317	99.9466	17.182	35.3	56.9
k105_189149	1	4446	625	4442	99.91	13.6057	35.5	57.4
k105_98913	1	14346	2238	14327	99.8676	14.8304	35.2	57
k105_75599	1	2808	160	2777	98.896	5.48148	35.3	57.5
k105_324560	1	24617	4149	24617	100	16.1722	35.1	57.2
k105_347049	1	3680	585	3680	100	15.0918	35.2	57
k105_144402	1	2648	132	2627	99.2069	4.64275	35.2	59.9
k105_212247	1	5626	791	5626	100	13.3297	35.2	56.5
k105_324767	1	2855	329	2855	100	11.2165	35.2	58.8
k105_9077	1	3277	513	3277	100	14.7916	35.4	55.9
k105_144804	1	19550	2756	19548	99.9898	13.6811	35.3	58.2
k105_99635	1	7183	965	7183	100	13.1827	35.3	58.9
k105_257501	1	10514	1390	10514	100	12.5764	35.3	57.3
k105_235272	1	6551	1052	6551	100	14.9443	35.1	55.5
k105_302531	1	3600	440	3600	100	11.7561	35.2	58.4
k105_302603	1	6401	880	6401	100	13.3507	35.3	57.6
k105_190475	1	35968	5882	35968	100	15.5219	35.2	57.2
k105_76701	1	18289	2854	18289	100	15.0645	35.1	57
k105_280727	1	2851	404	2819	98.8776	13.6173	34.9	57.7
k105_213344	1	4312	649	4312	100	14.6178	35.1	57.8
k105_325987	1	3992	594	3992	100	14.0734	35.4	55.7
k105_303155	1	5248	894	5248	100	15.9245	35.3	56.5
k105_145944	1	3061	241	3061	100	7.51846	35	55.1
k105_167965	1	10612	2451	10612	100	19.5331	35.2	56.3
k105_146051	1	7000	888	7000	100	12.2087	35.2	57.7
k105_77271	1	12043	2503	12043	100	19.1013	35.4	54.1
k105_122547	1	3086	370	3086	100	11.5736	35.4	57.7
k105_303483	1	20218	3060	20218	100	14.2584	35.2	56.9
k105_191340	1	27354	4265	27354	100	14.9615	35.5	57.5
k105_122691	1	8036	1594	8023	99.8382	18.774	35.1	58.2
k105_281626	1	10392	1331	10392	100	12.4964	35.4	58.1
k105_191522	1	6893	1162	6893	100	15.8616	35.2	53.9
k105_191727	1	10297	1786	10297	100	15.9094	35.3	53.7
k105_56326	1	12641	2144	12641	100	15.9968	35.4	55.7
k105_214484	1	3813	257	3813	100	6.12589	35.3	56.5
k105_168660	1	29891	4887	29891	100	15.7142	35.2	57.1
k105_168777	1	3001	414	3001	100	13.1626	35.1	55
k105_146996	1	13418	2119	13418	100	15.1878	35.1	57.1
k105_282484	1	3633	540	3633	100	14.0146	35.1	56.1
k105_192240	1	6451	1218	6448	99.9535	17.519	35.3	54.7
k105_147204	1	3598	516	3598	100	13.6609	35.3	56.8
k105_34220	1	10092	1935	10092	100	18.1999	35	57.4
k105_123753	1	3285	446	3285	100	12.8079	35.3	56.5
k105_147397	1	20220	2994	20219	99.9951	14.0701	35.2	57.3
k105_169416	1	2833	237	2833	100	8.0586	35	57.1
k105_78658	1	9504	1519	9504	100	15.1015	35.1	55.4
k105_12063	1	18706	2778	18650	99.7006	14.508	35.4	58.5
k105_192823	1	14600	2027	14600	100	13.4005	35.3	57.4
k105_102348	1	5513	908	5513	100	15.6523	35.4	56.4
k105_350850	1	11529	1695	11529	100	14.0073	35.2	57.9
k105_238010	1	8431	8484	8431	100	74.0224	36.1	52.6
k105_193030	1	5149	881	5149	100	16.0519	35.1	57.2
k105_124727	1	3768	469	3768	100	12.3094	35.6	59.6
k105_124892	1	15579	2045	15579	100	12.5337	35.3	57.9
k105_283767	1	7179	1058	7179	100	14.2518	35.3	56.2
k105_148345	1	11618	1724	11618	100	14.2982	35.2	57
k105_35569	1	4277	402	4277	100	8.98457	35.1	58.3
k105_170323	1	19197	3141	19197	100	15.5796	35.3	56.4
k105_58324	1	16740	3063	16740	100	16.8926	35.2	55.5
k105_13044	1	12666	1892	12646	99.8421	14.2617	35.3	57.1
k105_80020	1	3001	397	2984	99.4335	12.2859	35.5	57.5
k105_170653	1	22577	3590	22573	99.9823	15.2283	35.2	57.2
k105_239031	1	19733	2740	19725	99.9595	13.2654	35.3	57.3
k105_103507	1	3331	196	3331	100	5.76494	35.3	59.6
k105_36274	1	12100	2105	12062	99.686	16.2463	35.2	56.7
k105_80655	1	3087	419	3087	100	13.3408	35.5	58.3
k105_13769	1	18374	2625	18362	99.9347	13.8486	35.1	58.6
k105_126094	1	3216	403	3216	100	12.0022	35.3	58.7
k105_239567	1	5272	714	5272	100	13.3822	35.1	60
k105_239722	1	5268	693	5268	100	12.7282	35.2	58.3
k105_36706	1	13354	2198	13354	100	15.7251	35.2	57.2
k105_14203	1	14591	2758	14590	99.9931	16.0885	35.4	54.9
k105_126602	1	3738	491	3710	99.2509	12.9101	35.3	59.8
k105_104443	1	3717	671	3717	100	16.7573	35.2	55.9
k105_104474	1	7960	1203	7937	99.7111	14.6433	35.3	57.3
k105_285461	1	8535	1259	8535	100	13.9517	35.1	56.5
k105_217789	1	3644	421	3644	100	11.1583	35.7	59.1
k105_104627	1	2533	2165	2533	100	81.4485	35.4	58
k105_307615	1	6889	1077	6889	100	14.4824	35.3	57.1
k105_37299	1	8128	1217	8128	100	14.4983	35.3	57.8
k105_195280	1	3282	217	3268	99.5734	6.08501	35.4	52.3
k105_195369	1	7626	1231	7626	100	15.1593	35.3	55.2
k105_81692	1	6853	906	6853	100	12.8402	35	59.9
k105_37504	1	6344	887	6344	100	13.302	35.3	57
k105_240630	1	6114	1036	6114	100	16.1644	35.2	56.3
k105_353910	1	3702	561	3702	100	14.4824	34.9	56.5
k105_172443	1	4427	617	4427	100	13.0682	35.1	57.2
k105_172513	1	5460	925	5460	100	15.2546	35	52.9
k105_105368	1	3054	454	3054	100	14.3788	35.4	57
k105_286386	1	3500	656	3500	100	16.8137	35.3	52.8
k105_127679	1	3182	420	3182	100	12.6251	35	58.1
k105_241179	1	9375	1306	9375	100	13.4273	35	56.8
k105_82455	1	4178	532	4178	100	12.3997	35.1	59.1
k105_219009	1	3729	602	3729	100	15.5489	35	58.8
k105_151218	1	7268	1148	7249	99.7386	15.015	35.2	57.2
k105_308920	1	39071	6194	39068	99.9923	15.2582	35.2	57.8
k105_196615	1	4361	674	4361	100	14.5501	35.5	55.7
k105_264099	1	14300	2129	14300	100	14.3987	35.3	57.4
k105_61161	1	11680	1519	11680	100	12.6949	35.2	58.5
k105_128356	1	13313	2145	13313	100	15.7151	35.3	58.7
k105_38862	1	5297	839	5297	100	14.9983	35.2	56.8
k105_61273	1	18963	2703	18954	99.9525	13.5854	35.2	57.2
k105_61291	1	4156	621	4156	100	14.3576	35.4	55.9
k105_196804	1	61674	10975	61674	100	16.7446	35.3	55.8
k105_196811	1	4156	693	4156	100	15.4892	35.4	55.7
k105_242499	1	2801	391	2801	100	12.8204	35.1	55.6
k105_106842	1	10975	1461	10975	100	12.8755	35.4	58.7
k105_265397	1	3997	589	3984	99.6748	14.3097	35.2	57.1
k105_84433	1	11961	1741	11961	100	13.7276	35.2	55.9
k105_243333	1	2604	499	2604	100	17.7561	35.3	54
k105_175404	1	3177	157	3177	100	4.83695	35.5	59.5
k105_62837	1	3707	465	3707	100	12.082	35.5	57.6
k105_333677	1	12720	2538	12720	100	18.0299	35.4	52.7
k105_310646	1	8052	1644	8052	100	18.8445	35.4	54.4
k105_108124	1	3925	752	3924	99.9745	15.4777	35	45.5
k105_221019	1	10827	1615	10827	100	14.3374	35.1	58
k105_63270	1	5136	991	5136	100	16.8896	35.3	56.4
k105_289632	1	16942	3084	16932	99.941	16.801	35.3	55.3
k105_198919	1	5237	762	5227	99.8091	14.0829	35.1	58.3
k105_85385	1	9144	1191	9144	100	12.6639	35.5	57.5
k105_266730	1	4916	670	4916	100	13.1345	35.2	58.5
k105_108558	1	28650	4463	28650	100	15.0434	35.3	57.4
k105_334609	1	3120	489	3120	100	14.5965	35.3	54.9
k105_221366	1	16566	2589	16566	100	14.3857	35.2	56.3
k105_290154	1	11007	1656	11007	100	14.4551	35.2	57.5
k105_64294	1	2760	145	2739	99.2391	5.05145	34.9	58.6
k105_109228	1	7593	866	7593	100	10.9825	35.2	58.7
k105_221976	1	10723	1459	10723	100	13.2757	35.2	59.4
k105_267466	1	9671	1355	9671	100	13.5135	35.3	57.3
k105_177232	1	7054	949	7026	99.6031	13.2559	35.4	59.8
k105_86549	1	10669	1827	10669	100	16.0731	35.2	56.6
k105_222287	1	4080	550	4080	100	13.0074	35.6	57.5
k105_245183	1	6414	1043	6414	100	15.5048	35.6	56.3
k105_291131	1	2621	130	2488	94.9256	4.86188	35.2	59.8
k105_359112	1	21030	3130	21030	100	14.1735	35.1	57.4
k105_65156	1	9482	1224	9482	100	12.2938	35.7	57.8
k105_222618	1	4442	749	4442	100	16.4548	35.1	57.8
k105_110207	1	22168	3407	22168	100	14.6502	35.2	57.1
k105_245772	1	4016	507	4016	100	12.4076	35.6	59
k105_177976	1	23059	3375	23059	100	14.1068	35	58.2
k105_132327	1	15420	2393	15420	100	14.7846	35.3	56.8
k105_132345	1	10096	1533	10096	100	14.7131	35.2	57.6
k105_65914	1	4367	632	4367	100	13.9302	35.3	58.2
k105_246022	1	2599	395	2599	100	14.2066	35.2	55.4
k105_292149	1	10630	1300	10630	100	11.8415	35.2	58.7
k105_292190	1	6431	992	6431	100	14.1606	35.1	56.7
k105_132599	1	17213	2774	17154	99.6572	15.4694	35.1	56.7
k105_292283	1	5741	993	5741	100	15.482	35.4	57.6
k105_110857	1	19019	2623	19019	100	13.3405	35.1	58
k105_132771	1	2733	397	2721	99.5609	14.1182	35.1	56.9
k105_132899	1	12237	1747	12235	99.9837	13.7579	35.3	58.1
k105_132910	1	6953	1314	6953	100	17.5541	35.2	56.7
k105_268947	1	3557	458	3556	99.9719	12.4464	35.3	58.8
k105_269052	1	3626	535	3626	100	14.3469	35	57.9
k105_111331	1	18399	2403	18399	100	12.6283	35.2	58.2
k105_88232	1	13302	2067	13302	100	14.7293	35.4	56
k105_178810	1	4127	461	4127	100	10.9823	35.3	59.8
k105_133254	1	2686	444	2686	100	16.0369	35.2	55.1
k105_178879	1	4776	656	4776	100	13.1943	35.2	58.5
k105_178897	1	8872	1574	8872	100	16.6705	35.2	57.5
k105_247066	1	3921	619	3921	100	15.5037	35.2	58.5
k105_111640	1	2760	505	2760	100	16.0779	35.2	56.3
k105_224252	1	3175	450	3156	99.4016	13.6787	35.3	58.1
k105_247304	1	5068	717	4997	98.5991	12.4907	35.3	58.3
k105_247424	1	21388	3392	21388	100	14.6779	35.4	56.8
k105_112071	1	5077	823	5077	100	14.7867	35.4	57.9
k105_112151	1	3691	506	3691	100	13.0853	35.1	58.6
k105_67332	1	10329	1716	10327	99.9806	15.8245	35.1	56.9
k105_22488	1	11660	2047	11660	100	16.7056	35.2	56.2
k105_180163	1	25574	4034	25569	99.9804	15.0449	35.2	56.8
k105_157804	1	6713	1062	6713	100	15.1104	35.2	56.5
k105_180166	1	5749	921	5749	100	15.1905	35.4	57.3
k105_135266	1	8929	1247	8929	100	13.6769	34.9	58.9
