#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_28479	1	14313	3463	14313	100	23.2362	34.8	59.1
k105_344432	1	6313	1573	6310	99.9525	23.6905	34.9	58.8
k105_51246	1	3311	721	3311	100	18.72	34.9	56.5
k105_187053	1	15634	3258	15617	99.8913	19.917	34.7	59
k105_118529	1	27514	8336	27514	100	28.8277	34.9	58.1
k105_254740	1	27266	8252	27266	100	28.8033	34.7	57.7
k105_187123	1	13687	3717	13685	99.9854	26.2347	34.9	58.6
k105_187140	1	4408	1809	4408	100	36.657	35	52.5
k105_344817	1	32400	8823	32400	100	25.4905	34.9	57.3
k105_187223	1	12176	2866	12166	99.9179	22.6447	34.8	59
k105_29413	1	20663	5672	20650	99.9371	25.8131	34.9	58
k105_187381	1	9615	3419	9615	100	32.6917	35	56
k105_29519	1	2860	832	2857	99.8951	27.7469	34.9	57.8
k105_299860	1	34115	10685	34115	100	29.3336	34.9	56.5
k105_118957	1	31601	9040	31601	100	27.1186	35.1	57.8
k105_232246	1	5767	1751	5756	99.8093	27.8615	34.9	57.5
k105_345178	1	65378	21011	65378	100	30.1162	34.9	56.7
k105_210444	1	6917	2284	6917	100	29.216	35	44.9
k105_323243	1	6776	2035	6754	99.6753	26.6235	34.8	55.5
k105_255731	1	3835	495	3835	100	11.8089	35.1	58.6
k105_74522	1	37113	9572	37108	99.9865	24.3122	34.8	58.6
k105_143025	1	5352	1502	5349	99.9439	26.5467	34.9	56.4
k105_188111	1	9417	3492	9417	100	34.786	35	57.3
k105_119699	1	15329	4753	15324	99.9674	29.1016	34.9	57.1
k105_74840	1	43965	13820	43965	100	29.307	34.9	55.7
k105_143490	1	47994	16934	47992	99.9958	32.3962	35.1	56
k105_233491	1	24121	6465	24118	99.9876	25.516	34.8	58.2
k105_233629	1	4604	1192	4604	100	24.6581	35	58.3
k105_53570	1	41299	12891	41280	99.954	29.0755	34.8	56.2
k105_301334	1	10336	3146	10336	100	28.57	34.6	57.6
k105_31158	1	11992	4385	11988	99.9666	33.4572	34.9	53.9
k105_279411	1	35142	9681	35139	99.9915	26.1841	34.9	58
k105_301375	1	27069	8650	27056	99.952	29.8079	34.8	56.7
k105_53787	1	3359	794	3315	98.6901	18.5091	34.7	40.6
k105_75688	1	9265	1746	9250	99.8381	17.6031	34.5	56.8
k105_31429	1	7581	2424	7581	100	30.2423	34.7	58.6
k105_54062	1	2646	657	2646	100	22.3012	34.9	53.7
k105_301735	1	20111	5078	20111	100	23.7477	34.8	57
k105_99149	1	9009	2676	8974	99.6115	28.1976	34.9	57.2
k105_54207	1	9470	2035	9461	99.905	20.3903	34.8	57.9
k105_9178	1	5424	1323	5424	100	22.788	35.3	56.3
k105_54306	1	47850	14819	47850	100	29.5604	34.9	58.3
k105_76048	1	30129	8201	30123	99.9801	26.0496	34.7	58.7
k105_235005	1	7054	991	7054	100	13.0878	34.7	57.9
k105_302308	1	2653	705	2645	99.6985	25.2488	34.7	54.8
k105_32109	1	18968	5433	18968	100	26.8533	34.9	58
k105_99795	1	12899	4495	12890	99.9302	32.2805	34.9	56.8
k105_302493	1	8974	2599	8968	99.9331	27.5504	35	55.3
k105_212995	1	4841	1057	4841	100	20.6773	34.5	58.4
k105_76665	1	17958	4703	17941	99.9053	24.7347	34.8	58
k105_32486	1	30407	8635	30400	99.977	27.0195	34.8	58
k105_55311	1	38601	11974	38594	99.9819	29.305	34.9	57.6
k105_303113	1	41839	10352	41825	99.9665	23.4723	34.8	58.2
k105_145910	1	3075	370	3075	100	11.9141	35.6	60
k105_213746	1	3248	1652	3248	100	44.7679	35.4	55.2
k105_122419	1	3146	381	3146	100	11.7788	34.9	59.2
k105_10624	1	20396	4866	20396	100	22.6799	34.6	58.7
k105_77456	1	2852	521	2848	99.8597	17.6883	35	58.3
k105_100983	1	20597	6944	20577	99.9029	30.4796	34.9	56.3
k105_77522	1	2670	616	2670	100	21.2775	34.7	55.7
k105_56129	1	7374	2326	7374	100	28.7449	34.6	54.2
k105_304160	1	10495	3115	10495	100	27.5234	35	56.8
k105_259210	1	17276	5201	17274	99.9884	28.5641	34.9	57.8
k105_101763	1	15729	3489	15708	99.8665	20.6391	34.9	53.4
k105_78328	1	35195	9579	35193	99.9943	25.8777	34.7	58.8
k105_169262	1	15563	4935	15557	99.9614	29.6753	35	55
k105_147420	1	10317	3496	10317	100	30.7684	35.1	57.2
k105_237637	1	16098	4370	16093	99.9689	25.3698	34.9	56.3
k105_169559	1	40328	11721	40328	100	26.6348	34.9	56.9
k105_169696	1	13029	4003	13026	99.977	28.9909	35.1	54.6
k105_102505	1	11960	3635	11935	99.791	28.5082	34.7	58.2
k105_260246	1	6733	1764	6698	99.4802	24.8478	34.7	56.2
k105_58126	1	8970	2396	8970	100	25.767	35	58.1
k105_216161	1	24362	7539	24362	100	28.8544	34.9	57.5
k105_103265	1	20804	6063	20773	99.851	27.9102	34.9	58.5
k105_216354	1	22419	6529	22419	100	27.4455	34.9	56.5
k105_13103	1	37106	11103	37106	100	27.8204	34.7	57
k105_103382	1	7899	2567	7894	99.9367	29.5678	34.9	55
k105_80125	1	5859	1725	5830	99.505	27.1632	34.7	57.9
k105_193904	1	33027	8676	33017	99.9697	24.7218	34.9	57.4
k105_58496	1	28983	8041	28983	100	26.3576	34.8	58.1
k105_216588	1	4183	1388	4183	100	30.6486	34.8	58.7
k105_103503	1	44668	11267	44668	100	24.0285	34.6	59.1
k105_13448	1	4638	1040	4638	100	20.2145	34.7	57.5
k105_216678	1	45370	13854	45370	100	29.0009	35	57.8
k105_194316	1	11769	3329	11769	100	27.4259	35	59.5
k105_171028	1	3344	583	3334	99.701	16.776	34.7	59.1
k105_149272	1	106905	26272	106905	100	23.3273	34.9	58.1
k105_171079	1	50656	13833	50656	100	25.9886	34.8	58.4
k105_59416	1	7202	1435	7202	100	19.1168	34.9	59.9
k105_36836	1	48996	14026	48983	99.9735	27.4014	35	58.1
k105_36879	1	3794	1037	3780	99.631	25.4871	34.6	58.9
k105_217607	1	7849	2171	7849	100	26.5769	34.7	59.8
k105_59529	1	34675	8930	34658	99.951	24.5975	34.9	58.3
k105_307440	1	31457	9063	31442	99.9523	27.2863	35	57.9
k105_104604	1	5774	1772	5770	99.9307	28.8078	34.8	57.6
k105_217942	1	11862	3584	11827	99.7049	28.5554	34.8	56.8
k105_59832	1	24178	6469	24178	100	25.4689	34.8	58.2
k105_218007	1	27365	7653	27365	100	25.9329	34.9	56.9
k105_150183	1	17932	4238	17932	100	22.6255	35	59
k105_218114	1	15123	4358	15123	100	26.0777	34.8	58.9
k105_240649	1	9697	2648	9693	99.9588	26.0963	34.9	57.9
k105_105471	1	36022	10031	36016	99.9833	26.1298	34.9	57.5
k105_308517	1	40094	11753	40094	100	27.9927	34.8	59.1
k105_286720	1	35046	9046	35044	99.9943	25.0588	35	59
k105_331978	1	3217	778	3206	99.6581	23.0584	34.8	55.5
k105_264211	1	3332	858	3330	99.94	24.7464	34.9	58.1
k105_16321	1	10837	3019	10832	99.9539	26.327	34.8	57.8
k105_106498	1	2842	787	2842	100	25.8779	34.8	55.4
k105_264688	1	15369	4151	15357	99.9219	25.1244	34.7	56
k105_219744	1	22198	6147	22198	100	25.8845	34.8	57.9
k105_106596	1	4827	1274	4827	100	24.7052	34.9	58.6
k105_151975	1	4002	1216	3997	99.8751	27.9143	34.7	53.3
k105_106913	1	7418	1996	7418	100	23.5376	34.9	53.1
k105_106928	1	10669	3427	10669	100	30.2483	34.9	56.6
k105_174448	1	9859	2762	9859	100	26.6553	34.9	59.1
k105_84058	1	19896	7405	19896	100	31.5323	35.3	56.8
k105_174507	1	4840	1130	4840	100	21.7581	35.2	55.7
k105_39999	1	2745	3888	2745	100	117.932	34.8	46
k105_310337	1	60544	16437	60532	99.9802	26.0366	35	58
k105_107621	1	4324	937	4324	100	17.0749	35.3	58.4
k105_243682	1	28626	10342	28626	100	33.427	34.9	55.7
k105_198597	1	4566	609	4566	100	12.8555	34.7	58.9
k105_153194	1	11716	3389	11708	99.9317	27.2124	34.8	56.9
k105_221021	1	29857	7695	29852	99.9833	24.1977	34.8	57.8
k105_221150	1	22946	5920	22923	99.8998	24.7121	35	57.7
k105_221176	1	18806	5752	18782	99.8724	28.5214	35	56.7
k105_289928	1	6865	1234	6854	99.8398	17.2165	34.7	59.2
k105_108583	1	6786	1538	6786	100	20.677	34.8	51.6
k105_18812	1	12641	3778	12634	99.9446	27.9335	34.9	57
k105_311601	1	5244	1847	5244	100	32.6377	35.2	54.3
k105_130975	1	29341	7842	29341	100	25.885	34.9	59.4
k105_311712	1	4179	1110	4179	100	25.3111	35	58.2
k105_64078	1	8000	2941	8000	100	33.8847	35.1	54.9
k105_266979	1	3020	1014	3016	99.8675	30.6801	34.7	54.5
k105_176574	1	6037	1486	6034	99.9503	23.9407	34.7	59.4
k105_199443	1	32322	8452	32322	100	24.8156	34.8	58
k105_109094	1	5631	1385	5583	99.1476	22.1964	34.9	58.1
k105_244812	1	16351	3982	16351	100	23.0802	34.9	57.9
k105_109445	1	5967	1339	5967	100	20.6286	34.9	56.2
k105_86430	1	5615	1633	5615	100	27.1168	34.9	57.2
k105_199925	1	22605	6087	22605	100	25.5628	34.9	57.8
k105_131611	1	3479	389	3479	100	10.9106	35.2	60
k105_245188	1	3385	643	3385	100	18.1016	35.4	59.1
k105_154902	1	43241	11649	43227	99.9676	25.4027	35.1	57.7
k105_19822	1	6211	1957	6211	100	29.7646	35	56.9
k105_154969	1	7967	2325	7964	99.9623	28.458	34.9	59.6
k105_131923	1	3216	564	3216	100	15.7351	34.6	56.1
k105_87227	1	6137	1701	6137	100	25.298	34.6	57.2
k105_291866	1	18386	5237	18367	99.8967	27.1694	34.8	58.2
k105_245846	1	14201	4351	14191	99.9296	29.0359	34.8	58.5
k105_313543	1	21983	6401	21983	100	28.1864	35	59.1
k105_268607	1	3881	1003	3878	99.9227	24.312	34.7	59.2
k105_292336	1	2519	400	2498	99.1663	13.8797	34.8	54.5
k105_110971	1	14626	4205	14624	99.9863	27.0375	34.8	57.4
k105_87761	1	5870	714	5870	100	12.0726	35.2	59.9
k105_292889	1	36463	10565	36463	100	27.4566	34.9	57.1
k105_156408	1	7146	1953	7145	99.986	25.8433	34.7	58
k105_133417	1	3380	1143	3377	99.9112	28.9512	35	54.5
k105_179652	1	6068	1767	6068	100	26.9871	34.7	56.8
k105_202922	1	16596	4758	16590	99.9638	27.0995	34.7	57.6
k105_202938	1	6298	1492	6284	99.7777	22.4925	34.5	56.6
k105_225185	1	13591	3396	13559	99.7646	24.0723	34.5	58.9
k105_134768	1	101152	31405	101132	99.9802	29.3847	34.9	57.9
