#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k105_279411	1	35142	3559	35103	99.889	9.58406	35	57.3
k105_301375	1	27069	3172	27032	99.8633	10.7019	34.8	55.3
k105_53787	1	3359	264	3236	96.3382	6.01905	34.9	38
k105_75688	1	9265	609	9154	98.8019	6.16632	34.4	56.4
k105_31429	1	7581	794	7581	100	9.87007	34.7	58.3
k105_54062	1	2646	325	2631	99.4331	10.8016	35.2	53.1
k105_301735	1	20111	1808	20056	99.7265	8.37049	34.7	56.3
k105_99149	1	9009	1021	9003	99.9334	10.7246	34.9	56.3
k105_54207	1	9470	695	9004	95.0792	6.90496	34.9	57.3
k105_9178	1	5424	570	5424	100	9.79314	35.4	55.4
k105_54306	1	47850	5307	47841	99.9812	10.4484	34.9	57.8
k105_76048	1	30129	3080	30120	99.9701	9.68266	34.8	58.2
k105_235005	1	7054	388	7012	99.4046	5.01616	34.4	57.3
k105_302308	1	2653	235	2643	99.6231	8.24915	34.5	55.2
k105_32109	1	18968	2043	18959	99.9526	10.0327	34.9	57.1
k105_99795	1	12899	1752	12870	99.7752	12.1684	35	55.1
k105_302493	1	8974	984	8945	99.6768	10.3914	35	54.5
k105_212995	1	4841	382	4832	99.8141	7.36459	34.4	57.9
k105_76665	1	17958	1592	17944	99.922	8.28494	34.7	57.5
k105_32486	1	30407	3175	30393	99.954	9.82211	34.9	57.6
k105_55311	1	38601	4277	38510	99.7643	10.28	34.9	57
k105_303113	1	41839	3827	41774	99.8446	8.55135	34.8	57.3
k105_145910	1	3075	110	2787	90.6341	3.55252	35.4	60
k105_213746	1	3248	908	3248	100	23.9116	35.3	55
k105_122419	1	3146	147	3046	96.8214	4.44851	34.8	59.4
k105_10624	1	20396	1656	20371	99.8774	7.65905	34.7	58.4
k105_77456	1	2852	169	2808	98.4572	5.79383	35	59.3
k105_100983	1	20597	2821	20581	99.9223	11.9538	34.9	55.2
k105_77522	1	2670	210	2649	99.2135	7.21948	34.9	55
k105_56129	1	7374	961	7332	99.4304	11.6103	34.8	53.4
k105_304160	1	10495	1182	10486	99.9142	10.0914	35	55.7
k105_259210	1	17276	1849	17235	99.7627	10.0023	34.8	57.5
k105_101763	1	15729	1235	15693	99.7711	7.16931	34.7	52.7
k105_78328	1	35195	3336	35161	99.9034	8.90445	34.8	58.6
k105_169262	1	15563	1881	15549	99.91	11.2126	35.1	53.7
k105_147420	1	10317	1579	10317	100	12.9191	35.3	55.7
k105_237637	1	16098	1617	16095	99.9814	9.10945	34.9	54.7
k105_169559	1	40328	4310	40294	99.9157	9.62039	35	55.5
k105_169696	1	13029	1506	13017	99.9079	10.8411	35	54
k105_102505	1	11960	1208	11864	99.1973	9.29482	34.8	57.3
k105_260246	1	6733	591	6628	98.4405	8.34175	34.7	56.2
k105_58126	1	8970	806	8933	99.5875	8.62297	34.9	57.4
k105_216161	1	24362	2845	24362	100	10.5754	34.9	56.9
k105_103265	1	20804	2190	20749	99.7356	9.93694	35	58
k105_216354	1	22419	2293	22318	99.5495	9.4122	34.9	54.7
k105_13103	1	37106	4048	37073	99.9111	9.86857	34.7	55.8
k105_103382	1	7899	1031	7847	99.3417	11.4203	34.7	55.4
k105_80125	1	5859	669	5840	99.6757	10.241	34.7	56.9
k105_193904	1	33027	3354	32876	99.5428	9.36579	34.9	56.5
k105_58496	1	28983	2960	28983	100	9.55988	34.8	57.3
k105_216588	1	4183	485	4183	100	10.4561	34.5	58
k105_103503	1	44668	3854	44597	99.841	8.14803	34.6	58.8
k105_13448	1	4638	380	4537	97.8223	7.19362	34.7	55.3
k105_216678	1	45370	4941	45370	100	10.2686	35	57.1
k105_194316	1	11769	1205	11762	99.9405	9.92574	35	59.1
k105_171028	1	3344	211	3298	98.6244	6.09779	34.8	58.8
k105_149272	1	106905	9799	106706	99.8139	8.50361	34.9	57.5
k105_171079	1	50656	4964	50640	99.9684	9.20983	34.8	57.9
k105_59416	1	7202	503	7172	99.5834	6.63149	34.9	59.7
k105_36836	1	48996	5075	48968	99.9429	9.85152	35	57.9
k105_36879	1	3794	369	3789	99.8682	9.16974	34.3	58.9
k105_217607	1	7849	791	7849	100	9.69346	34.6	59.6
k105_59529	1	34675	3107	34531	99.5847	8.53707	35	58.2
k105_307440	1	31457	3157	31434	99.9269	9.4076	34.9	57.9
k105_104604	1	5774	713	5749	99.567	11.5229	34.8	57.5
k105_217942	1	11862	1340	11821	99.6544	10.5211	34.9	55.6
k105_59832	1	24178	2293	24178	100	8.99591	34.9	57.8
k105_218007	1	27365	2830	27313	99.81	9.48416	35	56.5
k105_150183	1	17932	1399	17861	99.6041	7.41027	35	58.5
k105_218114	1	15123	1793	15123	100	10.124	35	58.3
k105_240649	1	9697	909	9688	99.9072	8.96948	34.9	57.6
k105_105471	1	36022	3875	36008	99.9611	9.93507	35	56.8
k105_308517	1	40094	4146	40094	100	9.78269	34.9	58.6
k105_286720	1	35046	3104	34962	99.7603	8.56186	35.1	58.8
k105_331978	1	3217	268	3099	96.332	7.96487	34.6	56.7
k105_264211	1	3332	329	3307	99.2497	9.44268	35	58.2
k105_16321	1	10837	1087	10780	99.474	9.33856	34.7	57.4
k105_106498	1	2842	301	2842	100	9.90676	34.6	55.3
k105_264688	1	15369	1566	15228	99.0826	9.3753	34.6	56
k105_219744	1	22198	2373	22169	99.8694	9.74718	34.8	57
k105_106596	1	4827	543	4827	100	10.2598	34.8	58.4
k105_151975	1	4002	450	3999	99.925	10.0877	35	51.7
k105_106913	1	7418	825	7416	99.973	9.378	34.8	51.1
k105_106928	1	10669	1152	10639	99.7188	9.92389	35	54.5
k105_174448	1	9859	897	9757	98.9654	8.61659	34.8	58.5
k105_84058	1	19896	3829	19675	98.8892	14.1837	35.6	55.8
k105_174507	1	4840	397	4646	95.9917	7.6219	35.3	54.1
k105_39999	1	2745	1355	2593	94.4627	40.9523	34.7	46.7
k105_310337	1	60544	5836	60428	99.8084	9.13937	35	57.3
k105_107621	1	4324	509	4256	98.4274	9.76041	35.2	58.3
k105_243682	1	28626	3900	28620	99.979	12.3589	34.9	53.9
k105_198597	1	4566	189	4425	96.912	3.98993	34.9	59.2
k105_153194	1	11716	1174	11680	99.6927	9.12854	34.7	56.3
k105_221021	1	29857	2820	29666	99.3603	8.70104	34.9	56.9
k105_221150	1	22946	2104	22923	99.8998	8.65349	34.9	56.4
k105_221176	1	18806	2321	18806	100	11.2296	35.1	55.4
k105_289928	1	6865	375	6759	98.4559	5.23948	34.8	59.3
k105_108583	1	6786	692	6735	99.2485	9.03124	34.9	49.2
k105_18812	1	12641	1424	12632	99.9288	10.2776	34.9	55.9
k105_311601	1	5244	617	5243	99.9809	10.7914	35.2	53.6
k105_130975	1	29341	2548	29217	99.5774	8.36839	34.9	59
k105_311712	1	4179	400	4172	99.8325	9.29313	35.2	58.8
k105_64078	1	8000	1376	7980	99.75	15.5995	35.2	54.2
k105_266979	1	3020	426	2982	98.7417	12.9245	35	53.8
k105_176574	1	6037	473	6022	99.7515	7.46033	34.6	58.9
k105_199443	1	32322	3159	32322	100	9.17155	34.8	57.7
k105_109094	1	5631	570	5584	99.1653	8.98455	34.8	57.2
k105_244812	1	16351	1533	16335	99.9021	8.79683	34.9	57.3
k105_109445	1	5967	509	5957	99.8324	7.6303	34.9	54.1
k105_86430	1	5615	549	5615	100	8.91184	35	56.5
k105_199925	1	22605	2196	22605	100	9.05087	34.9	57.1
k105_131611	1	3479	139	3439	98.8502	3.84392	34.5	59.8
k105_245188	1	3385	303	3385	100	8.28597	35.3	59.1
k105_154902	1	43241	4165	43115	99.7086	8.78645	35	57
k105_19822	1	6211	862	6211	100	13.0547	35.2	56.1
k105_154969	1	7967	783	7942	99.6862	9.51701	34.9	59.9
k105_131923	1	3216	205	3153	98.041	5.80317	34.7	55.1
k105_87227	1	6137	608	6123	99.7719	8.88822	34.6	56.5
k105_291866	1	18386	1876	18371	99.9184	9.67704	35	57.2
k105_245846	1	14201	1601	14195	99.9577	10.3113	34.7	58
k105_313543	1	21983	2211	21931	99.7635	9.58172	34.9	58.3
k105_268607	1	3881	330	3881	100	8.11002	35	58.9
k105_292336	1	2519	155	2510	99.6427	4.95752	34.6	53.4
k105_110971	1	14626	1474	14603	99.8427	9.25468	34.9	56.1
k105_87761	1	5870	206	5492	93.5605	3.45468	35.4	59.7
k105_292889	1	36463	3851	36397	99.819	9.86378	34.9	56.3
k105_156408	1	7146	722	7111	99.5102	9.5911	34.7	57.8
k105_133417	1	3380	469	3374	99.8225	11.213	35.2	54.7
k105_179652	1	6068	685	6068	100	10.2078	34.8	54.8
k105_202922	1	16596	1685	16572	99.8554	9.5238	34.8	57
k105_202938	1	6298	629	6262	99.4284	9.50508	34.4	57.4
k105_225185	1	13591	1177	13533	99.5732	8.33691	34.6	58.9
k105_134768	1	101152	11614	100969	99.8191	10.6301	34.9	56.9
